number,course_id,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,is_active
11,206,single,"During a new system implementation, an IS auditor has been assigned to review risk
management at each milestone. The auditor finds that several risks to project benefits have
not been addressed. Who should be accountable for managing these risks?",Enterprise risk manager,Project sponsor,Information security officer,Project manager,,D,"The project manager should be accountable for managing the risks to project benefits.
Project benefits are the expected outcomes or value that a project delivers to its
stakeholders, such as improved efficiency, quality, customer satisfaction, or revenue.
Project risks are uncertain events or conditions that may affect the project objectives,
scope, budget, schedule, or quality. The project manager is responsible for identifying,
analyzing, prioritizing, responding to, and monitoring project risks throughout the project life
cycle. The other options are not accountable for managing project risks, as they have
different roles and responsibilities. The enterprise risk manager is responsible
foroverseeing the organization’s overall risk management framework and strategy, but not
for managing specific project risks. The project sponsor is responsible for initiating,
approving, and supporting the project, but not for managing project risks. The information
security officer is responsible for ensuring that the project complies with the organization’s
information security policies and standards, but not for managing project
risks. References: CISA Review Manual (Digital Version), Chapter 3, Section 3.3",True
12,206,single,"Which of the following is the MOST important benefit of involving IS audit when
implementing governance of enterprise IT?",Identifying relevant roles for an enterprise IT governance framework,Making decisions regarding risk response and monitoring of residual risk,"Verifying that legal, regulatory, and contractual requirements are being met",Providing independent and objective feedback to facilitate improvement of IT processes,,D,"The most important benefit of involving IS audit when implementing governance of
enterprise IT is providing independent and objective feedback to facilitate improvement of
IT processes.Governance of enterprise IT is the process of ensuring that IT supports the
organization’s strategy, goals, and objectives in an effective, efficient, ethical, and
compliant manner. IS audit can provide value to governance of enterprise IT by assessing
the alignment of IT with business needs, evaluating the performance and value delivery of
IT, identifying risks and issues related to IT, recommending corrective actions and best
practices, and monitoring the implementation and effectiveness of IT governance activities.
IS audit can also provide assurance that IT governance processes are designed and
operating in accordance with relevant standards, frameworks, laws, regulations, and
contractual obligations. Identifying relevant roles for an enterprise IT governance
framework is a benefit of involving IS audit when implementing governance of enterprise IT,
but not the most important one. IS audit can help define and clarify the roles and
responsibilities of various stakeholders involved in IT governance, such as board members,
senior management, business units, IT function, external parties, etc. IS audit can also help
ensure that these roles are aligned with the organization’s strategy, goals, and objectives,
and that they have adequate authority, accountability, communication, and reporting
mechanisms. However, this benefit is more related to the design phase of IT governance
implementation than to the ongoing monitoring and improvement phase. Making decisions
regarding risk response and monitoring of residual risk is a benefit of involving IS audit
when implementing governance of enterprise IT, but not the most important one. IS audit
can help identify and assess the risks associated with IT activities and processes, such as
strategic risks, operational risks, compliance risks, security risks, etc. IS audit can also help
evaluate the effectiveness of risk management practices and controls implemented by
management to mitigate or reduce these risks. However, this benefit is more related to the
assurance function of IS audit than to its advisory function. Verifying that legal, regulatory,
and contractual requirements are being met is a benefit of involving IS audit when
implementing governance of enterprise IT, but not the most important one. IS audit can
help verify that IT activities and processes comply with applicable laws, regulations, and
contractual obligations, such as data protection laws, privacy laws, cybersecurity laws,
industry standards, service level agreements, etc. IS audit can also help identify and report
any instances of noncompliance or violations that could result in legal or reputational
consequences for the organization. However, this benefit is more related to the assurance
function of IS audit than to its advisory function. References: ISACA CISA Review Manual
27th Edition, page 283",True
13,206,single,"Management is concerned about sensitive information being intentionally or unintentionally
emailed as attachments outside the organization by employees. What is the MOST
important task before implementing any associated email controls?",Require all employees to sign nondisclosure agreements (NDAs).,Develop an acceptable use policy for end-user computing (EUC).,Develop an information classification scheme.,Provide notification to employees about possible email monitoring.,,C,"The most important task before implementing any associated email controls to prevent
sensitive information from being emailed outside the organization by employees is to
develop an information classification scheme. An information classification scheme is a
framework that defines the categories and levels of sensitivity for different types of
information, such as public, internal, confidential, or secret. An information classification
scheme can help implement email controls by providing criteria and guidelines for
identifying, labeling, handling, and protecting sensitive information in email attachments.
The other options are not as important as developing an information classification scheme,
as they do not address the root cause of the problem or provide the same benefits.
Requiring all employees to sign nondisclosure agreements (NDAs) is a legal control that
can help deter or penalize employees from disclosing sensitive information, but it does not
prevent them from emailing it outside the organization. Developing an acceptable use
policy for end-user computing (EUC) is a governance control that can help define and
communicate the rules and expectations for using IT resources, such as email, but it does
not prevent employees from emailing sensitive information outside the organization.
Providing notification to employees about possible email monitoring is a transparency
control that can help inform and warn employees about the potential consequences of
emailing sensitive information outside the organization, but it does not prevent them from
doing so. References: CISA Review Manual (Digital Version), Chapter 5, Section 5.3.2",True
14,206,single,"When auditing the security architecture of an online application, an IS auditor should FIRST
review the:",firewall standards.,configuration of the firewall,firmware version of the firewall,location of the firewall within the network,,D,"The security architecture of an online application is a design that describes how various
security components and controls are integrated and configured to protect the application
from internal and external threats. When auditing the security architecture of an online
application, an IS auditor should first review the location of the firewall within the network,
as this determines how effectively the firewall can filter and monitor the traffic between
different network segments and zones. The firewall standards, configuration, and firmware
version are also important aspects to review, but they are secondary to the location of the
firewall.",True
15,206,single,"Which of the following fire suppression systems needs to be combined with an automatic
switch to shut down the electricity supply in the event of activation?",Carbon dioxide,FM-200,Dry pipe,Halon,,A,"Carbon dioxide fire suppression systems need to be combined with an automatic switch to
shut down the electricity supply in the event of activation. This is because carbon dioxide
displaces oxygen in the air and can create a suffocation hazard for people in the protected
area. Therefore, it is essential to cut off the power source before releasing carbon dioxide
to avoid electrical shocks and sparks that could ignite the fire again. Carbon dioxide
systems are typically used for total flooding applications in spaces that are not habitable,
such as server rooms or data centers.",True
16,206,single,Which of the following is the PRIMARY concern when negotiating a contract for a hot site?,Availability of the site in the event of multiple disaster declarations,Coordination with the site staff in the event of multiple disaster declarations,Reciprocal agreements with other organizations,Complete testing of the recovery plan,,A,"The primary concern when negotiating a contract for a hot site is the availability of the site
in the event of multiple disaster declarations. A hot site is a fully equipped alternative facility
that can be used to resume business operations in the event of a disaster. However, if
multiple clients of the hot site provider declare a disaster at the same time, there may be a
shortage of resources or capacity to accommodate all of them. Therefore, the contract
should specify the terms and conditions for ensuring the availability and priority of the hot
site for the organization. The other options are not as important as availability, as they do
not affect the ability to use the hot site in a disaster situation. Coordination with the site staff
in the event of multiple disaster declarations is a logistical issue that can be resolved by
communication and planning. Reciprocal agreements with other organizations are
alternative arrangements that can be used to share resources or facilities in a disaster, but
they may not be as reliable or suitable as a hot site. Complete testing of the recovery plan
is a good practice that can help validate and improve the effectiveness of the recovery
plan, but it is not a concern for negotiating a contract for a hot site. References: CISA
Review Manual (Digital Version), Chapter 4, Section 4.2.3",True
17,206,single,"An IS auditor notes that several employees are spending an excessive amount of time
using social media sites for personal reasons. Which of the following should the auditor
recommend be performed FIRST?",Implement a process to actively monitor postings on social networking sites.,Adjust budget for network usage to include social media usage.,Use data loss prevention (DLP) tools on endpoints.,implement policies addressing acceptable usage of social media during working hours.,,D,"The first course of action that the auditor should recommend after finding that several

employees are spending an excessive amount of time using social media sites for personal
reasons is to implement policies addressing acceptable usage of social media during
working hours. Policies can help define the scope, purpose, rules, and expectations of
using social media in the workplace, both for personal and professional reasons. Policies
can also specify the consequences of violating the policies, such as disciplinary actions or
termination. Policies can help deter employees from misusing social media at work, which
could affect their productivity, performance, or security. Policies can also help protect the
organization from legal liabilities or reputational damages that could arise from
inappropriate or unlawful employee behavior on social media.",True
18,206,single,"When an IS audit reveals that a firewall was unable to recognize a number of attack
attempts, the auditor's BEST recommendation is to place an intrusion detection system
(IDS) between the firewall and:",the Internet.,the demilitarized zone (DMZ).,the organization's web server.,the organization's network.,,A,"When an IS audit reveals that a firewall was unable to recognize a number of attack
attempts, the auditor’s best recommendation is to place an intrusion detection system (IDS)
between the firewall and the Internet, as this would provide an additional layer of security
and alert the organization of any malicious traffic that bypasses or penetrates the
firewall. Placing an IDS between the firewall and the demilitarized zone (DMZ), the
organization’s web server, or the organization’s network would not be as effective, as it
would only monitor the traffic that has already passed through the
firewall. References: CISA Review Manual (DigitalVersion), Chapter 5, Section 5.4.3",True
19,206,single,"During a follow-up audit, an IS auditor learns that some key management personnel have
been replaced since the original audit, and current management has decided not to
implement some previously accepted recommendations. What is the auditor's BEST
course of action?",Notify the chair of the audit committee.,Notify the audit manager.,Retest the control.,Close the audit finding.,,B,"The auditor’s best course of action in this situation is to notify the audit manager. The audit
manager is responsible for overseeing the audit follow-up process and ensuring that audit
issues are resolved in a timely and satisfactory manner. The audit manager can then
decide whether to escalate the matter to higher authorities, such as the chair of the audit
committee, or to accept management’s decision and close the audit finding. The other
options are not appropriate for the auditor to do without consulting with the audit manager
first. Notifying the chair of the audit committee is a drastic step that may undermine the
relationship between the auditor and management, and it should be done only after
exhausting other means of resolving the issue. Retesting the control is not necessary, as
management has already decided not to implement therecommendations. Closing the audit
finding is premature, as management’s decision may not be aligned with the audit
objectives or risk appetite. References: CISA Review Manual (Digital Version), Chapter 2,
Section 2.4",True
20,206,single,"An IS auditor has found that an organization is unable to add new servers on demand in a
cost-efficient manner. Which of the following is the auditor's BEST recommendation?",Increase the capacity of existing systems.,Upgrade hardware to newer technology.,Hire temporary contract workers for the IT function.,Build a virtual environment.,,D,"The best recommendation for an organization that is unable to add new servers on demand
in a cost-efficient manner is to build a virtual environment. A virtual environment is a

technology that allows multiple virtual machines to run on a single physical server, sharing
its resources and capabilities. A virtual environment can help the organization add new
servers on demand in a cost-efficient manner by reducing the need for hardware
acquisition, maintenance, and power consumption. The other options are not as effective
as building a virtual environment, as they do not address the root cause of the problem or
provide the same benefits. Increasing the capacity of existing systems is a short-term
solution that can help improve the performance and availability of the current servers, but it
does not enable the organization to add new servers on demand in a cost-efficient manner.
Upgrading hardware to newer technology is a costly solution that can help enhance the
functionality and reliability of the servers, but it does not enable the organization to add new
servers on demand in a cost-efficient manner. Hiring temporary contract workers for the IT
function is an irrelevant solution that can help supplement the IT staff’s skills and
knowledge, but it does not enable the organization to add new servers on demand in a
cost-efficient manner. References: CISA Review Manual (Digital Version), Chapter 3,
Section 3.3.1",True
21,206,single,"A system administrator recently informed the IS auditor about the occurrence of several
unsuccessful intrusion attempts from outside the organization. Which of the following is
MOST effective in detecting such an intrusion?",Periodically reviewing log files,Configuring the router as a firewall,Using smart cards with one-time passwords,Installing biometrics-based authentication,,A,"The most effective way to detect an intrusion attempt is to periodically review log files,
which record the activities and events on a system or network. Log files can provide
evidence of unauthorized access attempts, malicious activities, or system errors.
Configuring the router as a firewall, using smart cards with one-time passwords, and
installing biometrics-basedauthentication are preventive controls that can reduce the
likelihood of an intrusion, but they do not detect it. References: ISACA CISA Review
Manual 27th Edition, page 301",True
22,206,single,"Which of the following BEST indicates the effectiveness of an organization's risk
management program?",Inherent risk is eliminated.,Residual risk is minimized.,Control risk is minimized.,Overall risk is quantified.,,B,"The effectiveness of a risk management program can be measured by how well it reduces
the residual risk, which is the risk that remains after applying controls, to an acceptable
level. Inherent risk is the risk that exists before applying any controls, and it cannot be
eliminated completely. Control risk is the risk that the controls fail to prevent or detect a risk
event, and it is a component of residual risk. Overall risk is not a meaningful metric for
assessing the effectiveness of a risk management program, as it does not account for the
impact and likelihood of different risk events. References: CISA Review Manual (Digital
Version), Chapter 1, Section 1.2.2",True
23,206,single,"What should be the PRIMARY basis for selecting which IS audits to perform in the coming
year?",Senior management's request,Prior year's audit findings,Organizational risk assessment,Previous audit coverage and scope,,C,"The primary basis for selecting which IS audits to perform in the coming year is the
organizational risk assessment. An organizational risk assessment is a formal process for
identifying, evaluating, and controlling risks that may affect the achievement of the
organization’sgoals and objectives3. An organizational risk assessment can help IS
auditors prioritize and plan their audit activities based on the level of risk exposure and
impact of each area or process within the organization. An organizational risk assessment
can also help IS auditors align their audit objectives and criteria with the organization’s

strategy and performance indicators. Senior management’s request, prior year’s audit
findings, and previous audit coverage and scope are also possible bases for selecting
which IS audits to perform in the coming year, but not as primary as the organizational risk
assessment. These factors are more secondary or supplementary sources of information
that can help IS auditors refine or adjust their audit plan based on specific needs or issues
identified by management or previous audits. However, thesefactors may not reflect the
current or emerging risks that may affect the organization’s operations or
performance. References: ISACA CISA Review Manual 27th Edition, page 295",True
24,206,single,"Malicious program code was found in an application and corrected prior to release into
production. After the release, the same issue was reported. Which of the following is the IS
auditor's BEST recommendation?",Ensure corrected program code is compiled in a dedicated server.,Ensure change management reports are independently reviewed.,Ensure programmers cannot access code after the completion of program edits.,Ensure the business signs off on end-to-end user acceptance test (UAT) results.,,C,"The IS auditor’s best recommendation is to ensure that programmers cannot access code
after the completion of program edits. This is because programmers who have access to
code after editing may introduce unauthorized or malicious changes that could compromise
the security, functionality, or performance of the application. By restricting access to code
after editing, the organization can ensure that only authorized and tested code is released
into production, and prevent any tampering or reoccurrence of the same issue.
References:
1 discusses the importance of controlling access to code after editing and testing,
and provides some best practices for doing so.
2 explains how programmers can introduce malicious code into applications, and
how to prevent and detect such attacks.
3 describes the role of IS auditors in reviewing and assessing the security and
quality of application code.",True
25,206,single,Which of the following is the BEST way to mitigate the impact of ransomware attacks?,Invoking the disaster recovery plan (DRP),Backing up data frequently,Paying the ransom,Requiring password changes for administrative accounts,,B,"Ransomwareis a type of malicious software that encrypts the victim’s data and demands a
ransom for its decryption1. Ransomware attacks can cause significant damage to an
organization’s operations, reputation, andfinances1. Therefore, it is important to mitigate
the impact of ransomware attacks by implementing effective prevention and recovery
strategies.
One of the best ways to mitigate the impact of ransomware attacks is to back up data
frequently12345. Data backups are copies of the organization’s data that are stored in a
separate location or medium, such as an external harddrive, cloud storage, or tape2. Data
backupscan help the organization restore its data in case of a ransomware attack, without
paying the ransom or losing valuable information2. Data backups shouldbe performed
regularly, preferably daily or weekly, depending on the criticality and volume of the
data2. Data backups should also be tested periodically to ensure their integrity and
usability2.
The other options are not as effective as backing up data frequently in mitigating the impact
of ransomware attacks. Invoking the disaster recovery plan (DRP) is a reactive measure
that can help the organization resume its operations after a ransomware attack, but it does
not prevent or reduce the damage caused by the attack3. Paying the ransom is not a
recommended option, as it does not guarantee the decryption of the data or the deletion of
the stolen data by the attackers. Paying the ransom also encourages further attacks and
funds criminal activities14. Requiring password changes for administrative accounts is a
good security practice, but it is not sufficient to prevent or recover from ransomware
attacks. Ransomware attacks can exploit other vulnerabilities, such as phishing emails,
outdated software, or weak network security15.
References: 1: How to Mitigatethe Risk of Ransomware Attacks: The Definitive Guide 2:
Mitigating malwareand ransomware attacks - The National Cyber Security Centre 3: 3
steps to prevent and recover from ransomware 4: Ransomware Epidemic: Use these 8
Strategies to Mitigate Risk 5: Practical Steps to Mitigate Ransomware Attacks -
ITSecurityWire",True
26,206,single,"Management has requested a post-implementation review of a newly implemented
purchasing package to determine to what extent business requirements are being met.
Which of the following is MOST likely to be assessed?",Purchasing guidelines and policies,Implementation methodology,Results of line processing,Test results,,C,"A post-implementation review is a process of evaluating the outcome and benefits of a
project or a system after it has been implemented. The main purpose of a post-
implementation review is to determine to what extent the business requirements are being
met by the new system. Therefore, the most likely aspect to be assessed is the results of
line processing, which refers to the actual performance and functionality of the system in
the operational environment.",True
27,206,single,"Which of the following is the MOST important reason to implement version control for an
end-user computing (EUC) application?",To ensure that older versions are availability for reference,To ensure that only the latest approved version of the application is used,To ensure compatibility different versions of the application,To ensure that only authorized users can access the application,,B,"Version control is a process of managing changes to an application or a document. It
ensures that only the latest approved version of the application is used by end-users, which
reduces the risk of errors, inconsistencies, and unauthorized modifications. Version control
also allows tracking the history of changes and restoring previous versions if needed.",True
28,206,single,"An IS auditor who was instrumental in designing an application is called upon to review the
application. The auditor should:",refuse the assignment to avoid conflict of interest.,use the knowledge of the application to carry out the audit.,inform audit management of the earlier involvement.,modify the scope of the audit.,,C,"The IS auditor should inform audit management of the earlier involvement in designing the
application. This is to ensure that there is no conflict of interest or bias that may affect the
objectivity or independence of the audit. Audit management can then decide whether to
assign a different auditor or to proceed with the same auditor with appropriate safeguards.
The other options are not appropriate for the IS auditor to do in this situation. Refusing the
assignment to avoid conflict of interest is an extreme measure that may not be necessary
or feasible, especially if there are no other qualified auditors available. Using the
knowledge of the application to carry out the audit is risky, as it may lead to overlooking or
ignoring potential issues or errors in the application. Modifying the scope of the audit is not
advisable, as it may compromise the quality or completeness of the
audit. References: CISA Review Manual (Digital Version), Chapter 2, Section 2.1",True
29,206,single,"Which of the following is the MOST effective way to maintain network integrity when using
mobile devices?",Implement network access control.,Implement outbound firewall rules.,Perform network reviews.,Review access control lists.,,A,"The most effective way to maintain network integrity when using mobile devices is to
implement network access control. Network access control is a security control that
regulates and restricts access to network resources based on predefined policies and
criteria, such as device type, identity, location, or security posture. Network access control
can help maintain network integrity when using mobile devices by preventing unauthorized
or compromised devices from accessing or affecting network systems or data. The other

options are not as effective as network access control in maintaining network integrity when
using mobile devices, as they do not address all aspects of network access or security.
Implementing outbound firewall rules is a security control that filters and blocks network
traffic based on source, destination, protocol, or port, but it does not regulate or restrict
network access based on device characteristics or conditions. Performing network reviews
is a monitoring activity that evaluates and reports on the performance, availability, or
security of network resources, but it does not regulate or restrict network access based on
device characteristics or conditions. Reviewing access control lists is a verification activity
that validates and confirms the access rights and privileges of network users or devices,
but it does not regulate or restrict network access based on device characteristics or
conditions. References: CISA Review Manual (Digital Version), Chapter 5, Section 5.2.2",True
30,206,single,"Which of the following is the BEST compensating control when segregation of duties is
lacking in a small IS department?",Background checks,User awareness training,Transaction log review,Mandatory holidays,,C,"The best compensating control when segregation of duties is lacking in a small IS
department is transaction log review. Transaction log review can help detect any
unauthorized or fraudulent activities performed by IS staff who have access to multiple
functions or systems. Transaction log review can also provide an audit trail for
accountability and investigation purposes. The other options are not as effective as
transaction log review in compensating for the lack of segregation of duties. Background
checks are preventive controls that can help screen potential employees for any criminal
records or dishonest behavior, but they do not prevent existing employees from abusing
their access privileges. User awareness training is a detective control that can help educate
users on how to report any suspicious or abnormal activities in the IS environment, but it
does not monitor or verify the actions of IS staff. Mandatory holidays are deterrent controls
that can discourage IS staff from engaging in fraudulent activities by requiring them to take
periodic leave, but they do not prevent or detect such activities when they
occur. References: CISA Review Manual (Digital Version), Chapter 3, Section 3.2",True
31,206,single,"Which of the following should an IS auditor recommend as a PRIMARY area of focus when
an organization decides to outsource technical support for its external customers?",Align service level agreements (SLAs) with current needs.,Monitor customer satisfaction with the change.,Minimize costs related to the third-party agreement.,Ensure right to audit is included within the contract.,,A,"The primary area of focus when an organization decides to outsource technical support for
its external customers is to align service level agreements (SLAs) with current needs. SLAs
are contracts that define the scope, quality, and expectations of the services provided by
the vendor, as well as the remedies or penalties for non-compliance. SLAs are essential for
ensuring that the outsourced technical support meets the customer’s requirements and
satisfaction, as well as the organization’s objectives andstandards. By aligning SLAs with
current needs, the organization can specify the key performance indicators (KPIs), metrics,
and targets that reflect the desired outcomes and value of the technical support. This can
also help to monitor and evaluate the vendor’s performance, identify gaps or issues, and
implement corrective actions or improvements.
References:
Service Level Agreement (SLA)Examples and Template
What is an SLA? Best practices for service-level agreements",True
32,206,single,"Which of the following is the BEST detective control for a job scheduling process involving
data transmission?","Metrics denoting the volume of monthly job failures are reported and reviewed by senior
management.","Jobs are scheduled to be completed daily and data is transmitted using a Secure File
Transfer Protocol (SFTP).",Jobs are scheduled and a log of this activity is retained for subsequent review.,Job failure alerts are automatically generated and routed to support personnel.,,D,"The best detective control for a job scheduling process involving data transmission is job
failure alerts that are automatically generated and routed to support personnel. Job failure
alerts are notifications that indicate when a scheduled job or task fails to execute or
complete successfully, such as due to errors, interruptions, or delays. Job failure alerts can
help detect and correct any issues or anomalies in the job scheduling process involving
data transmission by informing and alerting the support personnel who can investigate and
resolve the problem. The other options are not as effective as job failure alerts in detecting
issues or anomalies in the job scheduling process involving data transmission, as they do
not provide timely or specific information or feedback. Metrics denoting the volume of
monthly job failures are reported and reviewed by senior management is a reporting
technique that can help measure and improve the performance and reliability of the job
scheduling process, but it does not provide immediate or detailed information on individual
job failures. Jobs are scheduled to be completed daily and data is transmitted using a
Secure File Transfer Protocol (SFTP) is a preventive control that can help ensure the
timeliness and security of the job scheduling process involving data transmission, but it
does not detect any issues or anomalies that may occur during the process. Jobs are
scheduled and a log of this activity is retained for subsequent review is a logging technique
that can help record and track the status and results of the job scheduling process involving
data transmission, but it does not provide real-time or proactive information on job
failures. References: CISA Review Manual (Digital Version), Chapter 3, Section 3.2",True
