question_number,course_id,option_letter,option_text,is_correct
22,206,D,Overall risk is quantified.,False
23,206,A,Senior management's request,False
23,206,B,Prior year's audit findings,False
23,206,C,Organizational risk assessment,True
23,206,D,Previous audit coverage and scope,False
24,206,A,Ensure corrected program code is compiled in a dedicated server.,False
24,206,B,Ensure change management reports are independently reviewed.,False
24,206,C,Ensure programmers cannot access code after the completion of program edits.,True
24,206,D,Ensure the business signs off on end-to-end user acceptance test (UAT) results.,False
25,206,A,Invoking the disaster recovery plan (DRP),False
25,206,B,Backing up data frequently,True
25,206,C,Paying the ransom,False
25,206,D,Requiring password changes for administrative accounts,False
26,206,A,Purchasing guidelines and policies,False
26,206,B,Implementation methodology,False
26,206,C,Results of line processing,True
26,206,D,Test results,False
27,206,A,To ensure that older versions are availability for reference,False
27,206,B,To ensure that only the latest approved version of the application is used,True
27,206,C,To ensure compatibility different versions of the application,False
27,206,D,To ensure that only authorized users can access the application,False
28,206,A,refuse the assignment to avoid conflict of interest.,False
28,206,B,use the knowledge of the application to carry out the audit.,False
28,206,C,inform audit management of the earlier involvement.,True
28,206,D,modify the scope of the audit.,False
29,206,A,Implement network access control.,True
29,206,B,Implement outbound firewall rules.,False
29,206,C,Perform network reviews.,False
29,206,D,Review access control lists.,False
30,206,A,Background checks,False
30,206,B,User awareness training,False
30,206,C,Transaction log review,True
30,206,D,Mandatory holidays,False
31,206,A,Align service level agreements (SLAs) with current needs.,True
31,206,B,Monitor customer satisfaction with the change.,False
31,206,C,Minimize costs related to the third-party agreement.,False
31,206,D,Ensure right to audit is included within the contract.,False
32,206,A,"Metrics denoting the volume of monthly job failures are reported and reviewed by senior
management.",False
32,206,B,"Jobs are scheduled to be completed daily and data is transmitted using a Secure File
Transfer Protocol (SFTP).",False
32,206,C,Jobs are scheduled and a log of this activity is retained for subsequent review.,False
32,206,D,Job failure alerts are automatically generated and routed to support personnel.,True
33,206,A,Conduct periodic on-site assessments using agreed-upon criteria.,True
33,206,B,Periodically review the service level agreement (SLA) with the vendor.,False
33,206,C,Conduct an unannounced vulnerability assessment of vendor's IT systems.,False
33,206,D,Obtain evidence of the vendor's control self-assessment (CSA).,False
34,206,A,Detective,False
34,206,B,Logical,False
34,206,C,Preventive,True
34,206,D,Corrective,False
35,206,A,Examine the computer to search for evidence supporting the suspicions.,False
35,206,B,Advise management of the crime after the investigation.,False
35,206,C,Contact the incident response team to conduct an investigation.,True
35,206,D,Notify local law enforcement of the potential crime before further investigation.,False
36,206,A,application firewall policy settings.,False
36,206,B,a three-tier web architecture.,False
36,206,C,secure coding practices.,True
36,206,D,use of common industry frameworks.,False
37,206,A,Write access to production program libraries,True
37,206,B,Write access to development data libraries,False
37,206,C,Execute access to production program libraries,False
37,206,D,Execute access to development program libraries,False
38,206,A,Lack of appropriate labelling,False
38,206,B,Lack of recent awareness training.,False
38,206,C,Lack of password protection,False
38,206,D,Lack of appropriate data classification,True
39,206,A,Program documentation,False
39,206,B,Access control tables,False
39,206,C,Data flow diagrams,False
39,206,D,Field naming conventions,True
40,206,A,is more effective at suppressing flames.,False
40,206,B,allows more time to abort release of the suppressant.,False
40,206,C,has a decreased risk of leakage.,True
40,206,D,disperses dry chemical suppressants exclusively.,False
41,206,A,note the noncompliance in the audit working papers.,False
41,206,B,issue an audit memorandum identifying the noncompliance.,False
41,206,C,include the noncompliance in the audit report.,False
41,206,D,determine why the procedures were not followed.,True
42,206,A,The management of the client organization is aware of the testing.,False
42,206,B,The test results will be documented and communicated to management.,False
42,206,C,The environment and penetration test scope have been determined.,True
42,206,D,Diagrams of the organization's network architecture are available.,False
43,206,A,Address technical IT issues.,False
43,206,B,Be informed of all IT initiatives.,False
43,206,C,Have an IT strategy committee.,False
43,206,D,Approve the IT strategy.,True
44,206,A,Verify the disaster recovery plan (DRP) has been tested.,False
44,206,B,Ensure the intrusion prevention system (IPS) is effective.,False
44,206,C,Assess the security risks to the business.,True
44,206,D,Confirm the incident response team understands the issue.,False
45,206,A,review recent changes to the system.,False
45,206,B,verify completeness of user acceptance testing (UAT).,False
45,206,C,verify results to determine validity of user concerns.,True
45,206,D,review initial business requirements.,False
46,206,A,Include the requirement in the incident management response plan.,True
46,206,B,Establish key performance indicators (KPIs) for timely identification of security incidents.,False
46,206,C,Enhance the alert functionality of the intrusion detection system (IDS).,False
46,206,D,Engage an external security incident response expert for incident handling.,False
47,206,A,allocation of resources during an emergency.,True
47,206,B,frequency of system testing.,False
47,206,C,differences in IS policies and procedures.,False
47,206,D,maintenance of hardware and software compatibility.,False
48,206,A,File level encryption,False
48,206,B,File Transfer Protocol (FTP),False
48,206,C,Instant messaging policy,False
48,206,D,Application-level firewalls,True
49,206,A,The programming team is involved in the testing process.,False
49,206,B,All data files are tested for valid information before conversion.,False
49,206,C,User management approves the test design before the test is started.,True
49,206,D,The quality assurance (QA) team is in charge of the testing process.,False
50,206,A,Future compatibility of the application.,False
50,206,B,Proposed functionality of the application.,False
50,206,C,Controls incorporated into the system specifications.,True
50,206,D,Development methodology employed.,False
51,206,A,Implement a new system that can be patched.,False
51,206,B,Implement additional firewalls to protect the system.,False
51,206,C,Decommission the server.,False
51,206,D,Evaluate the associated risk.,True
52,206,A,Limit employee internet access.,False
52,206,B,Implement data classification procedures.,False
52,206,C,Review firewall logs for anomalies.,False
52,206,D,Conduct periodic security awareness training.,True
53,206,A,More frequent data backups,False
53,206,B,Periodic table link checks,True
53,206,C,Concurrent access controls,False
53,206,D,Performance monitoring tools,False
54,206,A,Determining the scope of the assessment,False
54,206,B,Performing detailed test procedures,False
54,206,C,Evaluating changes to the risk environment,False
54,206,D,Understanding the business process,True
55,206,A,Report the mitigating controls.,False
55,206,B,Report the security posture of the organization.,False
55,206,C,Determine the value of the firewall.,False
55,206,D,Determine the risk of not replacing the firewall.,True
56,206,A,describes the auditors' authority to conduct audits.,True
56,206,B,defines the auditors' code of conduct.,False
56,206,C,formally records the annual and quarterly audit plans.,False
56,206,D,documents the audit process and reporting standards.,False
57,206,A,The lack of technical documentation to support the program code,False
57,206,B,The lack of completion of all requirements at the end of each sprint,False
57,206,C,The lack of acceptance criteria behind user requirements.,True
57,206,D,The lack of a detailed unit and system test plan,False
58,206,A,Implementation plan,False
58,206,B,Project budget provisions,False
58,206,C,Requirements analysis,True
58,206,D,Project plan,False
59,206,A,Update of security information event management (SIEM) rules,False
59,206,B,Regular review of the network security policy,False
59,206,C,Completeness of network asset inventory,True
59,206,D,Location of intrusion detection systems (IDS),False
60,206,A,hire another person to perform migration to production.,False
60,206,B,implement continuous monitoring controls.,False
60,206,C,remove production access from the developers.,True
60,206,D,perform a user access review for the development team,False
61,206,A,Counting the transactions processed per day,False
61,206,B,Performing a sequence check,False
61,206,C,Tracing data back to the point of origin,True
61,206,D,Preparing and running test data,False
62,206,A,The data is taken directly from the system.,True
62,206,B,There is no privacy information in the data.,False
62,206,C,The data can be obtained in a timely manner.,False
62,206,D,The data analysis tools have been recently updated.,False
63,206,A,Capacity management plan,False
63,206,B,Training plans,False
63,206,C,Database conversion results,False
63,206,D,Stress testing results,True
64,206,A,Effectiveness of the security program,True
64,206,B,Security incidents vs. industry benchmarks,False
64,206,C,Total number of hours budgeted to security,False
64,206,D,Total number of false positives,False
65,206,A,Assessment of the personnel training processes of the provider,False
65,206,B,Adequacy of the service provider's insurance,False
65,206,C,Review of performance against service level agreements (SLAs),True
65,206,D,Periodic audits of controls by an independent auditor,False
66,206,A,information security team.,False
66,206,B,IS audit manager.,False
66,206,C,chief information officer (CIO).,False
66,206,D,business owner.,True
67,206,A,Developing and communicating test procedure best practices to audit teams,False
67,206,B,Developing and implementing an audit data repository,False
67,206,C,Decentralizing procedures and Implementing periodic peer review,False
67,206,D,Centralizing procedures and implementing change control,True
68,206,A,Periodic vendor reviews,False
68,206,B,Dual control,True
68,206,C,Independent reconciliation,False
68,206,D,Re-keying of monetary amounts,False
68,206,E,Engage an external security incident response expert for incident handling.,False
69,206,A,"Requiring policy acknowledgment and nondisclosure agreements (NDAs) signed by
employees",False
69,206,B,Establishing strong access controls on confidential data,False
69,206,C,Providing education and guidelines to employees on use of social networking sites,True
69,206,D,Monitoring employees' social networking usage,False
70,206,A,Disabled USB ports,False
70,206,B,Full disk encryption,True
70,206,C,Biometric access control,False
70,206,D,Two-factor authentication,False
71,206,A,Alignment with the IT tactical plan,False
71,206,B,IT steering committee minutes,False
71,206,C,Compliance with industry best practice,False
71,206,D,Business objectives,True
72,206,A,Percentage of new hires that have completed the training.,True
72,206,B,Number of new hires who have violated enterprise security policies.,False
72,206,C,Number of reported incidents by new hires.,False
72,206,D,Percentage of new hires who report incidents,False
73,206,A,Independent reconciliation,False
73,206,B,Re-keying of wire dollar amounts,False
73,206,C,Two-factor authentication control,False
73,206,D,System-enforced dual control,True
74,206,A,"Ensuring unauthorized individuals do not tamper with evidence after it has been
captured",False
74,206,B,Ensuring evidence is sufficient to support audit conclusions,True
74,206,C,Ensuring appropriate statistical sampling methods were used,False
74,206,D,Ensuring evidence is labeled to show it was obtained from an approved source,False
75,206,A,Implement overtime pay and bonuses for all development staff.,False
75,206,B,Utilize new system development tools to improve productivity.,False
75,206,C,Recruit IS staff to expedite system development.,False
75,206,D,Deliver only the core functionality on the initial target date.,True
76,206,A,Segregation of duties between staff ordering and staff receiving information assets,False
76,206,B,Complete and accurate list of information assets that have been deployed,True
76,206,C,Availability and testing of onsite backup generators,False
76,206,D,Knowledge of the IT staff regarding data protection requirements,False
77,206,A,Assign responsibility for improving data quality.,False
77,206,B,Invest in additional employee training for data entry.,False
77,206,C,Outsource data cleansing activities to reliable third parties.,False
77,206,D,Implement business rules to validate employee data entry.,True
78,206,A,Portfolio management,False
78,206,B,Business plans,False
78,206,C,Business processes,True
78,206,D,IT strategic plans,False
79,206,A,Notify the cyber insurance company.,False
79,206,B,Shut down the affected systems.,False
79,206,C,Quarantine the impacted systems.,True
79,206,D,Notify customers of the breach.,False
80,206,A,business impact analysis (BIA).,False
80,206,B,threat and risk assessment.,False
80,206,C,business continuity plan (BCP).,True
80,206,D,disaster recovery plan (DRP).,False
81,206,A,Reconciliation of total amounts by project,True
81,206,B,"Validity checks, preventing entry of character data",False
81,206,C,Reasonableness checks for each cost type,False
81,206,D,Display the back of the project detail after the entry,False
82,206,A,efficiency due to the re-use of elements of logic.,True
82,206,B,management of sequential program execution for data access.,False
82,206,C,grouping of objects into methods for data access.,False
82,206,D,management of a restricted variety of data types for a data object.,False
83,206,A,Lessons learned were implemented.,False
83,206,B,Management approved the PIR report.,False
83,206,C,The review was performed by an external provider.,False
83,206,D,Project outcomes have been realized.,True
84,206,A,Accept management's decision and continue the follow-up.,False
84,206,B,Report the issue to IS audit management.,True
84,206,C,Report the disagreement to the board.,False
84,206,D,Present the issue to executive management.,False
85,206,A,Blocking attachments in IM,False
85,206,B,Blocking external IM traffic,False
85,206,C,Allowing only corporate IM solutions,True
85,206,D,Encrypting IM traffic,False
86,206,A,Inability to close unused ports on critical servers,False
86,206,B,Inability to identify unused licenses within the organization,False
86,206,C,Inability to deploy updated security patches,True
86,206,D,Inability to determine the cost of deployed software,False
87,206,A,To determine whether project objectives in the business case have been achieved,True
87,206,B,To ensure key stakeholder sign-off has been obtained,False
87,206,C,To align project objectives with business needs,False
87,206,D,To document lessons learned to improve future project delivery,False
88,206,A,Double-posting of a single journal entry,False
88,206,B,Inability to support new business transactions,False
88,206,C,Unauthorized alteration of account attributes,False
88,206,D,Inaccuracy of financial reporting,True
89,206,A,"An unauthorized person attempts to gam access to secure premises by following an
authonzed person through a secure door.",False
89,206,B,"An employee is induced to reveal confidential IP addresses and passwords by
answering questions over the phone.",True
89,206,C,"A hacker walks around an office building using scanning tools to search for a wireless
network to gain access.",False
89,206,D,"An intruder eavesdrops and collects sensitive information flowing through the network
and sells it to third parties.",False
90,206,A,A means of benchmarking the effectiveness of similar processes with peers,False
90,206,B,A means of comparing the effectiveness of other processes within the enterprise,False
90,206,C,"Identification of older, more established processes to ensure timely review",False
90,206,D,Identification of processes with the most improvement opportunities,True
91,206,A,Business interruption due to remediation,False
91,206,B,IT budgeting constraints,False
91,206,C,Availability of responsible IT personnel,False
91,206,D,Risk rating of original findings,True
92,206,A,The default configurations have been changed.,True
92,206,B,All tables in the database are normalized.,False
92,206,C,The service port used by the database server has been changed.,False
92,206,D,The default administration account is used after changing the account password.,False
93,206,A,The current business capabilities delivered by the legacy system,True
93,206,B,The proposed network topology to be used by the redesigned system,False
93,206,C,The data flows between the components to be used by the redesigned system,False
93,206,D,The database entity relationships within the legacy system,False
94,206,A,Real-time audit software,False
94,206,B,Performance data,True
94,206,C,Quality assurance (QA) reviews,False
94,206,D,Participative management techniques,False
95,206,A,Annual sign-off of acceptable use policy,False
95,206,B,Regular monitoring of user access logs,False
95,206,C,Security awareness training,True
95,206,D,Formalized disciplinary action,False
96,206,A,"Configure a single server as a primary authentication server and a second server as a
secondary authentication server.",False
96,206,B,Configure each authentication server as belonging to a cluster of authentication servers.,True
96,206,C,"Configure each authentication server and ensure that each disk of its RAID is attached
to the primary controller.",False
96,206,D,"Configure each authentication server and ensure that the disks of each server form part

of a duplex.",False
97,206,A,Assuring the physical security of devices,False
97,206,B,Preserving data integrity,True
97,206,C,Maintaining chain of custody,False
97,206,D,Determining tools to be used,False
98,206,A,Data conversion was performed using manual processes.,False
98,206,B,Backups of the old system and data are not available online.,False
98,206,C,Unauthorized data modifications occurred during conversion.,True
98,206,D,The change management process was not formally documented,False
99,206,A,Whether there is explicit permission from regulators to collect personal data,False
99,206,B,The organization's legitimate purpose for collecting personal data,True
99,206,C,Whether sharing of personal information with third-party service providers is prohibited,False
99,206,D,The encryption mechanism selected by the organization for protecting personal data,False
100,206,A,basis for allocating indirect costs.,False
100,206,B,cost of replacing equipment.,False
100,206,C,estimated cost of ownership.,False
100,206,D,basis for allocating financial resources.,True
101,206,A,incident management.,False
101,206,B,quality assurance (QA).,False
101,206,C,change management.,True
101,206,D,project management.,False
102,206,A,Assignment of responsibility for each project to an IT team member,False
102,206,B,Adherence to best practice and industry approved methodologies,False
102,206,C,Controls to minimize risk and maximize value for the IT portfolio,True
102,206,D,Frequency of meetings where the business discusses the IT portfolio,False
103,206,A,Document the finding and present it to management.,False
103,206,B,Determine if a root cause analysis was conducted.,True
103,206,C,Confirm the resolution time of the incidents.,False
103,206,D,Validate whether all incidents have been actioned.,False
104,206,A,Require employees to attend security awareness training.,False
104,206,B,Password protect critical data files.,False
104,206,C,Configure to auto-wipe after multiple failed access attempts.,True
104,206,D,Enable device auto-lock function.,False
105,206,A,recommend that the option to directly modify the database be removed immediately.,False
105,206,B,"recommend that the system require two persons to be involved in modifying the
database.",False
105,206,C,determine whether the log of changes to the tables is backed up.,False
105,206,D,determine whether the audit trail is secured and reviewed.,True
106,206,A,Aligning the framework to industry best practices,False
106,206,B,Establishing committees to support and oversee framework activities,False
106,206,C,Involving appropriate business representation within the framework,True
106,206,D,Documenting IT-related policies and procedures,False
107,206,A,Review working papers with the auditee.,False
107,206,B,Request the auditee provide management responses.,False
107,206,C,Request management wait until a final report is ready for discussion.,False
107,206,D,Present observations for discussion only.,True
108,206,A,The policy includes a strong risk-based approach.,False
108,206,B,The retention period allows for review during the year-end audit.,False
108,206,C,The total transaction amount has no impact on financial reporting.,False
108,206,D,The retention period complies with data owner responsibilities.,True
109,206,A,Walk-through reviews,False
109,206,B,Substantive testing,True
109,206,C,Compliance testing,False
109,206,D,Design documentation reviews,False
110,206,A,Tunneling,False
110,206,B,Encryption,True
110,206,C,Message validation,False
110,206,D,Firewalls,False
111,206,A,Full test results,True
111,206,B,Completed test plans,False
111,206,C,Updated inventory of systems,False
111,206,D,Change management processes,False
112,206,A,governance of enterprise IT.,True
112,206,B,control effectiveness.,False
112,206,C,return on investment (ROI).,False
112,206,D,change management effectiveness.,False
113,206,A,Phishing,False
113,206,B,Using a dictionary attack of encrypted passwords,False
113,206,C,Intercepting packets and viewing passwords,False
113,206,D,Flooding the site with an excessive number of packets,True
114,206,A,Review system and error logs to verify transaction accuracy.,False
114,206,B,Review input and output control reports to verify the accuracy of the system decisions.,True
114,206,C,"Review signed approvals to ensure responsibilities for decisions of the system are well
defined.",False
114,206,D,Review system documentation to ensure completeness.,False
115,206,A,The number of users deleting the email without reporting because it is a phishing email,False
115,206,B,The number of users clicking on the link to learn more about the sender of the email,False
115,206,C,The number of users forwarding the email to their business unit managers,False
115,206,D,The number of users reporting receipt of the email to the information security team,True
116,206,A,re-prioritize the original issue as high risk and escalate to senior management.,False
116,206,B,schedule a follow-up audit in the next audit cycle.,False
116,206,C,"postpone follow-up activities and escalate the alternative controls to senior audit
management.",False
116,206,D,determine whether the alternative controls sufficiently mitigate the risk.,True
117,206,A,The exceptions are likely to continue indefinitely.,False
117,206,B,The exceptions may result in noncompliance.,True
117,206,C,The exceptions may elevate the level of operational risk.,False
117,206,D,The exceptions may negatively impact process efficiency.,False
118,206,A,Encryption of the spreadsheet,False
118,206,B,Version history,False
118,206,C,Formulas within macros,True
118,206,D,Reconciliation of key calculations,False
119,206,A,Audit cycle defined in the audit plan,False
119,206,B,Complexity of management's action plans,False
119,206,C,Recommendation from executive management,False
119,206,D,Residual risk from the findings of previous audits,True
120,206,A,Key performance indicators (KPIs),False
120,206,B,Maximum allowable downtime (MAD),True
120,206,C,Recovery point objective (RPO),False
120,206,D,Mean time to restore (MTTR),False
121,206,A,Frequent testing of backups,False
121,206,B,Annual walk-through testing,False
121,206,C,Periodic risk assessment,False
121,206,D,Full operational test,True
122,206,A,There is not a defined IT security policy.,False
122,206,B,The business strategy meeting minutes are not distributed.,False
122,206,C,IT is not engaged in business strategic planning.,True
122,206,D,There is inadequate documentation of IT strategic planning.,False
123,206,A,Limiting the size of file attachments being sent via email,True
123,206,B,Automatically deleting emails older than one year,False
123,206,C,Moving emails to a virtual email vault after 30 days,False
123,206,D,Allowing employees to store large emails on flash drives,False
124,206,A,"The auditor who conducted the audit and agreed with the timeline has left the
organization.",False
124,206,B,"Management's planned actions are sufficient given the relative importance of the
observations.",False
124,206,C,Auditee management has accepted all observations reported by the auditor.,False
124,206,D,The audit environment has changed significantly.,True
125,206,A,application test cases.,True
125,206,B,acceptance testing.,False
125,206,C,cost-benefit analysis.,False
125,206,D,project plans.,False
126,206,A,Incident monitoring togs,False
126,206,B,The ISP service level agreement,False
126,206,C,Reports of network traffic analysis,False
126,206,D,Network topology diagrams,True
127,206,A,Explain to IT management that the new control will be evaluated during follow-up,False
127,206,B,Re-perform the audit before changing the conclusion.,True
127,206,C,Change the conclusion based on evidence provided by IT management.,False
127,206,D,Add comments about the action taken by IT management in the report.,False
128,206,A,the same hashing algorithm as the sender's to create a binary image of the file.,True
128,206,B,a different hashing algorithm from the sender's to create a binary image of the file.,False
128,206,C,"the same hashing algorithm as the sender's to create a numerical representation of the
file.",False
128,206,D,"a different hashing algorithm from the sender's to create a numerical representation of
the file.",False
129,206,A,The process does not require specifying the physical locations of assets.,False
129,206,B,Process ownership has not been established.,True
129,206,C,The process does not include asset review.,False
129,206,D,Identification of asset value is not included in the process.,False
130,206,A,Execute nondisclosure agreements (NDAs).,False
130,206,B,Determine reporting requirements for vulnerabilities.,False
130,206,C,Define the testing scope.,False
130,206,D,Obtain management consent for the testing.,True
131,206,A,Note the exception in a new report as the item was not addressed by management.,False
131,206,B,Recommend alternative solutions to address the repeat finding.,False
131,206,C,Conduct a risk assessment of the repeat finding.,False
131,206,D,Interview management to determine why the finding was not addressed.,True
132,206,A,Rollback strategy,False
132,206,B,Test cases,False
132,206,C,Post-implementation review objectives,False
132,206,D,Business case,True
133,206,A,Monitor access to stored images and snapshots of virtual machines.,True
133,206,B,Restrict access to images and snapshots of virtual machines.,False
133,206,C,Limit creation of virtual machine images and snapshots.,False
133,206,D,Review logical access controls on virtual machines regularly.,False
134,206,A,Segregation of duties between issuing purchase orders and making payments.,True
134,206,B,Segregation of duties between receiving invoices and setting authorization limits,False
134,206,C,Management review and approval of authorization tiers,False
134,206,D,Management review and approval of purchase orders,False
135,206,A,Obtain error codes indicating failed data feeds.,False
135,206,B,Appoint data quality champions across the organization.,False
135,206,C,Purchase data cleansing tools from a reputable vendor.,False
135,206,D,Implement business rules to reject invalid data.,True
136,206,A,Agile auditing,False
136,206,B,Continuous auditing,False
136,206,C,Outsourced auditing,False
136,206,D,Risk-based auditing,True
137,206,A,Consulted,False
137,206,B,Informed,False
137,206,C,Responsible,False
137,206,D,Accountable,True
138,206,A,Compliance with action plans resulting from recent audits,False
138,206,B,Compliance with local laws and regulations,True
138,206,C,Compliance with industry standards and best practice,False
138,206,D,Compliance with the organization's policies and procedures,False
139,206,A,establish criteria for reviewing alerts.,False
139,206,B,recruit more monitoring personnel.,False
139,206,C,reduce the firewall rules.,False
139,206,D,fine tune the intrusion detection system (IDS).,True
140,206,A,Rotate job duties periodically.,False
140,206,B,Perform an independent audit.,False
140,206,C,Hire temporary staff.,False
140,206,D,Implement compensating controls.,True
141,206,A,The IS auditor provided consulting advice concerning application system best practices.,False
141,206,B,"The IS auditor participated as a member of the application system project team, but did
not have operational responsibilities.",False
141,206,C,"The IS auditor designed an embedded audit module exclusively for auditing the
application system.",False
141,206,D,"The IS auditor implemented a specific control during the development of the application
system.",True
142,206,A,The system does not have a maintenance plan.,True
142,206,B,The system contains several minor defects.,False
142,206,C,The system deployment was delayed by three weeks.,False
142,206,D,The system was over budget by 15%.,False
143,206,A,a risk management process.,True
143,206,B,an information security framework.,False
143,206,C,past information security incidents.,False
143,206,D,industry best practices.,False
144,206,A,"Evaluating whether loan records are included in the batch file and are validated by the
servicing system",False
144,206,B,"Comparing a population of loans input in the origination system to loans booked on the
servicing system",True
144,206,C,"Validating whether reconciliations between the two systems are performed and
discrepancies are investigated",False
144,206,D,"Reviewing error handling controls to notify appropriate personnel in the event of a
transmission failure",False
145,206,A,Balanced scorecard,True
145,206,B,Enterprise dashboard,False
145,206,C,Enterprise architecture (EA),False
145,206,D,Key performance indicators (KPIs),False
146,206,A,Data masking,True
146,206,B,Data tokenization,False
146,206,C,Data encryption,False
146,206,D,Data abstraction,False
147,206,A,subsystem structure.,False
147,206,B,program execution.,False
147,206,C,security control options.,False
147,206,D,operator overrides.,True
148,206,A,Analyze whether predetermined test objectives were met.,True
148,206,B,Perform testing at the backup data center.,False
148,206,C,Evaluate participation by key personnel.,False
148,206,D,Test offsite backup files.,False
149,206,A,"communicate via Transport Layer Security (TLS),",True
149,206,B,block authorized users from unauthorized activities.,False
149,206,C,channel access only through the public-facing firewall.,False
149,206,D,channel access through authentication.,False
150,206,A,Business continuity plan (BCP) testing,False
150,206,B,Business impact analysis (BIA),True
150,206,C,Disaster recovery plan (DRP) testing,False
150,206,D,Risk assessment,False
151,206,A,Data from the source and target system may be intercepted.,True
151,206,B,Data from the source and target system may have different data formats.,False
151,206,C,Records past their retention period may not be migrated to the new system.,False
151,206,D,System performance may be impacted by the migration,False
152,206,A,The efforts required for independent verification with new auditors,False
152,206,B,The impact if corrective actions are not taken,True
152,206,C,The amount of time the auditee has agreed to spend with auditors,False
152,206,D,Controls and detection risks related to the observations,False
153,206,A,the implementation plan meets user requirements.,False
153,206,B,"a full, visible audit trail will be Included.",False
153,206,C,a dear business case has been established.,True
153,206,D,the new hardware meets established security standards,False
154,206,A,Contingency planning,False
154,206,B,Configuration management,False
154,206,C,Help desk management,False
154,206,D,Impact assessment,True
155,206,A,Requirements may become unreasonable.,False
155,206,B,The policy may conflict with existing application requirements.,False
155,206,C,Local regulations may contradict the policy.,True
155,206,D,Local management may not accept the policy.,False
156,206,A,Analyzing risks posed by new regulations,True
156,206,B,Designing controls to protect personal data,False
156,206,C,Defining roles within the organization related to privacy,False
156,206,D,Developing procedures to monitor the use of personal data,False
157,206,A,risk management review,False
157,206,B,control self-assessment (CSA).,False
157,206,C,service level agreement (SLA).,True
157,206,D,balanced scorecard.,False
158,206,A,There are conflicting permit and deny rules for the IT group.,False
158,206,B,The network security group can change network address translation (NAT).,False
158,206,C,Individual permissions are overriding group permissions.,True
158,206,D,There is only one rule per group with access privileges.,False
159,206,A,Programs are not approved before production source libraries are updated.,False
159,206,B,Production source and object libraries may not be synchronized.,False
